"filename", "language", "HTML", "JavaScript", "TypeScript", "JSON", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\cashiers.component.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\cashiers.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\cashiers.component.ts", "TypeScript", 0, 0, 123, 0, 0, 0, 3, 46, 172
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\userService.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 2, 35, 131
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.html", "HTML", 75, 0, 0, 0, 0, 0, 18, 29, 122
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.scss", "SCSS", 0, 0, 0, 0, 43, 0, 0, 12, 55
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.ts", "TypeScript", 0, 0, 229, 0, 0, 0, 9, 73, 311
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo.component.html", "HTML", 97, 0, 0, 0, 0, 0, 0, 37, 134
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo.component.scss", "SCSS", 0, 0, 0, 0, 26, 0, 11, 9, 46
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo.component.ts", "TypeScript", 0, 0, 166, 0, 0, 0, 8, 57, 231
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\comboService.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 2, 26, 98
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discount-form\discount-form.component.html", "HTML", 90, 0, 0, 0, 0, 0, 0, 36, 126
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discount-form\discount-form.component.scss", "SCSS", 0, 0, 0, 0, 58, 0, 2, 20, 80
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discount-form\discount-form.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discount-form\discount-form.component.ts", "TypeScript", 0, 0, 250, 0, 0, 0, 3, 73, 326
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discountService.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 24, 73
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discounts\discounts.component.html", "HTML", 80, 0, 0, 0, 0, 0, 1, 17, 98
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discounts\discounts.component.scss", "SCSS", 0, 0, 0, 0, 30, 0, 11, 10, 51
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discounts\discounts.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\discount\discounts\discounts.component.ts", "TypeScript", 0, 0, 129, 0, 0, 0, 15, 63, 207
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\Service\EstablishmentService.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 3, 40, 133
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\Service\establishment.model.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 9, 29
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\addestab\addestab.component.html", "HTML", 100, 0, 0, 0, 0, 0, 15, 29, 144
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\addestab\addestab.component.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\addestab\addestab.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\addestab\addestab.component.ts", "TypeScript", 0, 0, 350, 0, 0, 0, 12, 93, 455
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\establishments.component.html", "HTML", 52, 0, 0, 0, 0, 0, 2, 2, 56
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\establishments.component.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\establishments.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\establishments\establishments.component.ts", "TypeScript", 0, 0, 148, 0, 0, 0, 8, 40, 196
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\notificationService.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 9, 29
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\CanDeactivateGuard.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 9, 1, 13
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\OrderGuard.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 1, 4, 25
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\clients\clientService.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 2, 26, 97
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\clients\clients.component.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\clients\clients.component.scss", "SCSS", 0, 0, 0, 0, 73, 0, 0, 18, 91
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\clients\clients.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\clients\clients.component.ts", "TypeScript", 0, 0, 155, 0, 0, 0, 1, 34, 190
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\orderService.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 2, 28, 83
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\payment.component.html", "HTML", 39, 0, 0, 0, 0, 0, 1, 14, 54
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\payment.component.scss", "SCSS", 0, 0, 0, 0, 100, 0, 2, 28, 130
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\payment.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\payment\payment.component.ts", "TypeScript", 0, 0, 280, 0, 0, 0, 6, 71, 357
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\itemService.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 3, 26, 87
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\open-orders\open-orders.component.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\open-orders\open-orders.component.scss", "SCSS", 0, 0, 0, 0, 47, 0, 0, 7, 54
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\open-orders\open-orders.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\open-orders\open-orders.component.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 12, 52
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\pos.component.html", "HTML", 149, 0, 0, 0, 0, 0, 23, 32, 204
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\pos.component.scss", "SCSS", 0, 0, 0, 0, 265, 0, 73, 124, 462
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\pos.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\pos\pos.component.ts", "TypeScript", 0, 0, 520, 0, 0, 0, 92, 150, 762
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\sample-page\sample-page.component.html", "HTML", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\sample-page\sample-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\sample-page\sample-page.component.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\session\SessionSelectionService.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 0, 23, 105
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\session\session.component.html", "HTML", 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\session\session.component.scss", "SCSS", 0, 0, 0, 0, 51, 0, 2, 16, 69
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\session\session.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\session\session.component.ts", "TypeScript", 0, 0, 170, 0, 0, 0, 52, 41, 263
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\session\sessionService.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 12, 30, 104
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\auth-signin\auth-signin.component.html", "HTML", 41, 0, 0, 0, 0, 0, 1, 2, 44
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\auth-signin\auth-signin.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\auth-signin\auth-signin.component.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 19, 46
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\auth-signin\loginService.ts", "TypeScript", 0, 0, 177, 0, 0, 0, 5, 41, 223
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\auth-signup\auth-signup.component.html", "HTML", 40, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\auth-signup\auth-signup.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\auth-signup\auth-signup.component.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 17, 66
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\authentication-routing.module.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\authentication.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\forgot-password\forgot-password.component.html", "HTML", 35, 0, 0, 0, 0, 0, 1, 5, 41
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\forgot-password\forgot-password.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\forgot-password\forgot-password.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\authentication\forgot-password\forgot-password.component.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 6, 22
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\form-elements\basic-elements\basic-elements.component.html", "HTML", 1316, 0, 0, 0, 0, 0, 0, 8, 1324
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\form-elements\basic-elements\basic-elements.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\form-elements\basic-elements\basic-elements.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\form-elements\form-elements-routing.module.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\form-elements\form-elements.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\tables\tables-routing.module.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\tables\tables.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\tables\tbl-bootstrap\tbl-bootstrap.component.html", "HTML", 522, 0, 0, 0, 0, 0, 0, 1, 523
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\tables\tbl-bootstrap\tbl-bootstrap.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
